Time(Date/Time),Temp(C),Humidity(%),
2022-10-30 20:00:18,16.7000007629,77.5999984741,
2022-10-30 20:15:03,17.0,76.0,
2022-10-30 20:30:02,16.7999992371,77.0,
2022-10-30 20:45:02,17.0,74.9000015259,
2022-10-30 21:00:02,17.2999992371,71.6999969482,
2022-10-30 21:15:02,17.3999996185,70.6999969482,
2022-10-30 21:30:03,17.2999992371,69.5999984741,
2022-10-30 21:45:02,17.5,68.0,
2022-10-30 22:00:03,17.6000003815,65.0999984741,
2022-10-30 22:15:02,17.6000003815,67.4000015259,
2022-10-30 22:30:02,17.1000003815,67.8000030518,
2022-10-30 22:45:02,16.7999992371,68.4000015259,
2022-10-30 23:00:02,16.7000007629,69.0999984741,
2022-10-30 23:15:03,17.0,66.9000015259,
2022-10-30 23:30:02,17.2000007629,65.0999984741,
2022-10-30 23:45:03,17.1000003815,64.0999984741,
2022-10-31 00:00:02,17.2999992371,64.0,
2022-10-31 00:15:03,17.3999996185,63.5999984741,
2022-10-31 00:30:02,17.1000003815,65.0,
2022-10-31 00:45:03,16.7000007629,64.9000015259,
2022-10-31 01:00:02,16.8999996185,65.0,
2022-10-31 01:15:02,16.7999992371,62.9000015259,
2022-10-31 01:30:02,17.0,61.2000007629,
2022-10-31 01:45:02,16.7000007629,62.9000015259,
2022-10-31 02:00:03,16.5,62.5999984741,
2022-10-31 02:15:02,16.5,62.7999992371,
2022-10-31 02:30:03,16.8999996185,62.9000015259,
2022-10-31 02:45:02,17.2000007629,62.2000007629,
2022-10-31 03:00:03,17.2000007629,62.7999992371,
2022-10-31 03:15:02,17.2000007629,64.0,
2022-10-31 03:30:02,17.5,61.7000007629,
2022-10-31 03:45:03,18.1000003815,61.9000015259,
2022-10-31 04:00:02,18.2000007629,59.4000015259,
2022-10-31 04:15:03,18.5,61.2999992371,
2022-10-31 04:30:02,18.5,60.7999992371,
2022-10-31 04:45:03,18.2999992371,59.0,
2022-10-31 05:00:02,18.2000007629,57.4000015259,
2022-10-31 05:15:02,17.7999992371,60.4000015259,
2022-10-31 05:30:02,17.5,61.7000007629,
2022-10-31 05:45:02,18.0,59.7000007629,
2022-10-31 06:00:03,17.7000007629,62.7999992371,
2022-10-31 06:15:02,17.1000003815,65.0999984741,
2022-10-31 06:30:03,17.1000003815,64.6999969482,
2022-10-31 06:45:02,17.2000007629,63.7999992371,
2022-10-31 07:00:03,16.7999992371,67.1999969482,
2022-10-31 07:15:02,17.1000003815,67.0999984741,
2022-10-31 07:30:02,18.2000007629,63.2999992371,
2022-10-31 07:45:02,19.3999996185,61.5999984741,
2022-10-31 08:00:03,19.8999996185,69.0,
